OrderID;Date;CustomerID;Product;Quantity;UnitPrice;ShippingAddress;PaymentMethod;OrderStatus;TrackingNumber;ItemsInCart;CouponCode;ReferralSource;TotalPrice;Calculated_Total_Price;Validated Status;Month Name;Month
ORD200014;27/03/2023;C98474;Tablet;2;393,33;980 Main St;Debit Card;Pending;TRK79186539;3;Save10;Instagram;786,66;786,66;Correct;March;3
ORD200015;17/07/2023;C39416;Printer;1;473,96;942 Main St;Cash;Delivered;TRK54930938;3;No Coupon;Google;473,96;473,96;Correct;July;7
ORD200016;24/01/2023;C28976;Printer;2;533,81;914 Main St;Credit Card;Pending;TRK13194259;3;Freeship;Email;1067,62;1067,62;Correct;January;1
ORD200017;02/03/2024;C60672;Tablet;1;423,4;382 Main St;Debit Card;Shipped;TRK11972116;3;No Coupon;Referral;423,4;423,4;Correct;March;3
ORD200018;26/03/2025;C84329;Desk;1;431,44;891 Main St;Gift Card;Pending;TRK65191045;3;Save10;Facebook;431,44;431,44;Correct;March;3
ORD200019;23/01/2023;C14552;Monitor;5;224;273 Main St;Cash;Returned;TRK59101365;9;Save10;Google;1120;1120;Correct;January;1
ORD200020;08/05/2023;C54829;Chair;5;62,51;587 Main St;Cash;Pending;TRK16718651;9;Winter15;Instagram;312,55;312,55;Correct;May;5
ORD200021;17/11/2024;C99023;Monitor;4;342,95;569 Main St;Cash;Delivered;TRK52646983;6;No Coupon;Google;1371,8;1371,8;Correct;November;11
ORD200022;29/01/2023;C34416;Monitor;2;49,62;633 Main St;Online;Pending;TRK75937350;2;Save10;Google;99,24;99,24;Correct;January;1
ORD200023;09/04/2025;C42372;Phone;4;273,25;755 Main St;Debit Card;Cancelled;TRK36168083;5;Freeship;Referral;1093;1093;Correct;April;4
ORD200024;30/10/2024;C17470;Laptop;2;230,95;956 Main St;Online;Delivered;TRK28775057;3;Winter15;Referral;461,9;461,9;Correct;October;10
ORD200025;24/07/2024;C42577;Monitor;1;399,98;709 Main St;Debit Card;Delivered;TRK69423327;3;Winter15;Email;399,98;399,98;Correct;July;7
ORD200026;06/03/2024;C21944;Laptop;5;59,55;296 Main St;Online;Delivered;TRK80276812;6;No Coupon;Referral;297,75;297,75;Correct;March;3
ORD200027;22/02/2024;C97593;Printer;1;472,74;881 Main St;Online;Shipped;TRK89117573;6;Winter15;Google;472,74;472,74;Correct;February;2
ORD200028;21/11/2023;C59823;Phone;4;160,07;568 Main St;Online;Pending;TRK65895539;5;No Coupon;Email;640,28;640,28;Correct;November;11
ORD200029;20/09/2024;C33260;Desk;3;423,53;930 Main St;Credit Card;Delivered;TRK59744090;6;Save10;Referral;1270,59;1270,59;Correct;September;9
ORD200030;22/03/2025;C44267;Monitor;2;426,7;895 Main St;Online;Pending;TRK54751444;5;Save10;Referral;853,4;853,4;Correct;March;3
ORD200031;30/06/2023;C26445;Chair;3;500,08;996 Main St;Debit Card;Returned;TRK31229981;6;No Coupon;Facebook;1500,24;1500,24;Correct;June;6
ORD200032;01/05/2023;C12388;Tablet;5;536,72;830 Main St;Cash;Delivered;TRK99261395;10;No Coupon;Email;2683,6;2683,6;Check;May;5
ORD200033;05/06/2023;C52184;Chair;1;162,77;912 Main St;Online;Cancelled;TRK73312471;4;Winter15;Facebook;162,77;162,77;Correct;June;6
ORD200034;07/01/2023;C67195;Chair;4;576,52;926 Main St;Credit Card;Pending;TRK55467915;5;Winter15;Facebook;2306,08;2306,08;Correct;January;1
ORD200035;07/12/2024;C50304;Monitor;2;465,15;128 Main St;Online;Shipped;TRK46850888;2;Save10;Facebook;930,3;930,3;Correct;December;12
ORD200036;08/05/2025;C59337;Laptop;2;534,43;465 Main St;Debit Card;Pending;TRK50961250;5;No Coupon;Facebook;1068,86;1068,86;Correct;May;5
ORD200037;14/10/2024;C10054;Laptop;2;76,74;409 Main St;Cash;Returned;TRK94005261;7;Save10;Instagram;153,48;153,48;Correct;October;10
ORD200038;19/12/2024;C15924;Laptop;1;245,89;549 Main St;Debit Card;Delivered;TRK14835975;3;Save10;Google;245,89;245,89;Correct;December;12
ORD200039;27/02/2025;C96664;Printer;3;256,46;666 Main St;Credit Card;Delivered;TRK85508960;4;Save10;Referral;769,38;769,38;Correct;February;2
ORD200040;20/08/2023;C84766;Desk;2;344,02;267 Main St;Online;Delivered;TRK78967923;4;Freeship;Instagram;688,04;688,04;Correct;August;8
ORD200041;05/12/2023;C20212;Monitor;3;611,45;657 Main St;Gift Card;Pending;TRK69733327;4;Freeship;Instagram;1834,35;1834,35;Check;December;12
ORD200042;06/05/2024;C28712;Printer;2;151,66;980 Main St;Cash;Cancelled;TRK40772558;6;No Coupon;Instagram;303,32;303,32;Correct;May;5
ORD200043;14/12/2023;C60572;Chair;3;499,21;871 Main St;Online;Cancelled;TRK20351666;8;No Coupon;Instagram;1497,63;1497,63;Check;December;12
ORD200044;21/04/2025;C73225;Phone;2;550,18;996 Main St;Gift Card;Returned;TRK73848522;3;Freeship;Referral;1100,36;1100,36;Correct;April;4
ORD200045;10/02/2024;C17388;Chair;1;317,25;157 Main St;Debit Card;Returned;TRK47077395;1;Save10;Facebook;317,25;317,25;Correct;February;2
ORD200046;26/06/2024;C43212;Monitor;4;550,14;223 Main St;Debit Card;Pending;TRK25100762;4;Freeship;Instagram;2200,56;2200,56;Correct;June;6
ORD200047;19/07/2023;C38134;Desk;2;209,94;323 Main St;Credit Card;Returned;TRK42450754;3;Freeship;Email;419,88;419,88;Correct;July;7
ORD200048;26/08/2023;C12408;Monitor;2;80,77;464 Main St;Debit Card;Shipped;TRK38938858;4;No Coupon;Google;161,54;161,54;Correct;August;8
ORD200049;07/10/2023;C11985;Printer;1;30,44;633 Main St;Credit Card;Shipped;TRK53272402;1;Save10;Email;30,44;30,44;Correct;October;10
ORD200050;31/07/2023;C96494;Tablet;1;179,22;446 Main St;Online;Cancelled;TRK14675049;6;Freeship;Instagram;179,22;179,22;Correct;July;7
ORD200051;30/12/2024;C36778;Tablet;1;388,33;434 Main St;Cash;Returned;TRK67610289;2;Save10;Facebook;388,33;388,33;Correct;December;12
ORD200052;08/09/2024;C30513;Tablet;1;586,44;232 Main St;Online;Returned;TRK64320429;5;Save10;Facebook;586,44;586,44;Correct;September;9
ORD200053;18/05/2024;C67551;Phone;4;488,78;512 Main St;Online;Returned;TRK94992552;5;Freeship;Google;1955,12;1955,12;Correct;May;5
ORD200054;27/03/2025;C48120;Chair;1;280,25;623 Main St;Online;Pending;TRK11014449;5;Winter15;Email;280,25;280,25;Correct;March;3
ORD200055;24/06/2025;C95984;Printer;3;344,4;565 Main St;Online;Cancelled;TRK67434829;3;No Coupon;Facebook;1033,2;1033,2;Check;June;6
ORD200056;21/05/2023;C54298;Tablet;3;479,21;566 Main St;Cash;Cancelled;TRK62902341;5;Winter15;Referral;1437,63;1437,63;Check;May;5
ORD200057;22/01/2023;C88036;Printer;5;314,27;842 Main St;Cash;Returned;TRK52470128;6;Save10;Instagram;1571,35;1571,35;Correct;January;1
ORD200058;15/01/2023;C60190;Phone;4;474,69;202 Main St;Gift Card;Cancelled;TRK70857868;6;Save10;Google;1898,76;1898,76;Correct;January;1
ORD200059;11/09/2024;C97603;Chair;4;593,27;811 Main St;Online;Shipped;TRK47055028;5;No Coupon;Facebook;2373,08;2373,08;Correct;September;9
ORD200060;21/08/2024;C39256;Desk;1;417,1;634 Main St;Debit Card;Returned;TRK23412025;3;Freeship;Referral;417,1;417,1;Correct;August;8
ORD200061;24/03/2024;C61618;Desk;4;122,2;104 Main St;Cash;Delivered;TRK43458485;7;Freeship;Facebook;488,8;488,8;Correct;March;3
ORD200062;22/08/2023;C36497;Desk;2;43,15;691 Main St;Debit Card;Pending;TRK12102911;3;Winter15;Email;86,3;86,3;Correct;August;8
ORD200063;02/02/2025;C96695;Chair;1;564,86;813 Main St;Debit Card;Shipped;TRK64283851;6;Winter15;Referral;564,86;564,86;Correct;February;2
ORD200064;25/06/2025;C49720;Printer;3;130,61;752 Main St;Debit Card;Cancelled;TRK55785217;4;Freeship;Facebook;391,83;391,83;Check;June;6
ORD200065;30/12/2023;C97735;Monitor;5;81,7;385 Main St;Credit Card;Delivered;TRK13743703;6;No Coupon;Instagram;408,5;408,5;Correct;December;12
ORD200066;15/11/2024;C18104;Chair;5;127,18;715 Main St;Cash;Cancelled;TRK15488568;9;Save10;Referral;635,9;635,9;Correct;November;11
ORD200067;09/12/2024;C25587;Printer;4;12,1;440 Main St;Debit Card;Cancelled;TRK55105323;8;No Coupon;Google;48,4;48,4;Correct;December;12
ORD200068;11/12/2023;C41598;Chair;3;490,92;709 Main St;Credit Card;Pending;TRK81665940;5;Freeship;Email;1472,76;1472,76;Correct;December;12
ORD200069;11/05/2023;C43338;Monitor;3;478,65;552 Main St;Online;Shipped;TRK35241775;4;No Coupon;Referral;1435,95;1435,95;Check;May;5
ORD200070;26/05/2023;C25123;Desk;1;629,21;384 Main St;Gift Card;Pending;TRK27812282;2;Freeship;Instagram;629,21;629,21;Correct;May;5
ORD200071;10/06/2025;C37454;Monitor;3;434,45;923 Main St;Credit Card;Pending;TRK28252730;4;No Coupon;Referral;1303,35;1303,35;Correct;June;6
ORD200072;22/12/2024;C19451;Tablet;4;589,44;942 Main St;Gift Card;Returned;TRK87787793;5;No Coupon;Facebook;2357,76;2357,76;Correct;December;12
ORD200073;03/05/2023;C17269;Monitor;4;433,45;129 Main St;Gift Card;Cancelled;TRK79608389;4;No Coupon;Facebook;1733,8;1733,8;Correct;May;5
ORD200074;24/06/2023;C25382;Phone;5;90,87;622 Main St;Cash;Pending;TRK64691287;5;No Coupon;Instagram;454,35;454,35;Correct;June;6
ORD200075;26/09/2023;C80651;Tablet;3;398,17;917 Main St;Debit Card;Delivered;TRK14846720;5;Save10;Email;1194,51;1194,51;Correct;September;9
ORD200076;31/03/2024;C58638;Laptop;4;382,88;239 Main St;Cash;Cancelled;TRK38224871;6;Winter15;Email;1531,52;1531,52;Correct;March;3
ORD200077;24/05/2024;C50121;Phone;1;583,18;348 Main St;Credit Card;Returned;TRK79810059;5;No Coupon;Google;583,18;583,18;Correct;May;5
ORD200078;06/08/2024;C32029;Printer;4;175,36;146 Main St;Debit Card;Delivered;TRK68535532;4;Freeship;Instagram;701,44;701,44;Correct;August;8
ORD200079;10/03/2025;C76700;Tablet;2;311,91;103 Main St;Online;Shipped;TRK13036341;2;No Coupon;Facebook;623,82;623,82;Correct;March;3
ORD200080;27/06/2023;C29041;Phone;3;589,56;591 Main St;Online;Returned;TRK28840655;6;No Coupon;Facebook;1768,68;1768,68;Check;June;6
ORD200081;08/06/2023;C29314;Monitor;2;394,3;496 Main St;Cash;Shipped;TRK59876213;6;Freeship;Email;788,6;788,6;Correct;June;6
ORD200082;05/01/2024;C65799;Tablet;4;565,2;971 Main St;Debit Card;Shipped;TRK66906607;9;Save10;Google;2260,8;2260,8;Correct;January;1
ORD200083;22/08/2023;C15681;Laptop;4;540,41;989 Main St;Credit Card;Cancelled;TRK75112172;6;No Coupon;Referral;2161,64;2161,64;Correct;August;8
ORD200084;28/08/2023;C64160;Monitor;2;165,49;967 Main St;Online;Shipped;TRK34121529;4;Winter15;Instagram;330,98;330,98;Correct;August;8
ORD200085;09/09/2024;C14553;Tablet;3;146,73;768 Main St;Cash;Delivered;TRK93538334;8;Freeship;Email;440,19;440,19;Check;September;9
ORD200086;19/06/2024;C88205;Printer;5;643,03;447 Main St;Online;Cancelled;TRK93504166;5;Freeship;Referral;3215,15;3215,15;Check;June;6
ORD200087;10/10/2024;C91245;Tablet;3;225,11;915 Main St;Cash;Shipped;TRK46976391;4;Save10;Facebook;675,33;675,33;Correct;October;10
ORD200088;05/06/2025;C75439;Desk;3;114,81;318 Main St;Gift Card;Cancelled;TRK19831653;7;No Coupon;Google;344,43;344,43;Correct;June;6
ORD200089;25/02/2025;C17181;Printer;5;455,33;291 Main St;Credit Card;Cancelled;TRK78912978;8;Freeship;Google;2276,65;2276,65;Correct;February;2
ORD200090;18/09/2023;C36540;Chair;4;182,08;611 Main St;Gift Card;Delivered;TRK35828122;4;Save10;Email;728,32;728,32;Correct;September;9
ORD200091;15/03/2023;C98216;Laptop;5;492,75;196 Main St;Cash;Shipped;TRK40986666;6;Winter15;Referral;2463,75;2463,75;Correct;March;3
ORD200092;10/06/2024;C29568;Printer;4;48,61;203 Main St;Online;Shipped;TRK46531075;7;Freeship;Facebook;194,44;194,44;Correct;June;6
ORD200093;14/01/2023;C97262;Desk;4;431,01;837 Main St;Credit Card;Returned;TRK65990229;7;No Coupon;Referral;1724,04;1724,04;Correct;January;1
ORD200094;11/02/2023;C79821;Chair;1;531,18;781 Main St;Gift Card;Returned;TRK12780193;6;Winter15;Instagram;531,18;531,18;Correct;February;2
ORD200095;24/03/2023;C76761;Printer;4;117,51;839 Main St;Debit Card;Returned;TRK60179774;7;No Coupon;Referral;470,04;470,04;Correct;March;3
ORD200096;01/06/2024;C93007;Phone;2;232,83;103 Main St;Gift Card;Delivered;TRK85696091;7;No Coupon;Instagram;465,66;465,66;Correct;June;6
ORD200097;21/01/2025;C15624;Tablet;5;619,52;922 Main St;Debit Card;Pending;TRK40621141;9;No Coupon;Email;3097,6;3097,6;Correct;January;1
ORD200098;14/01/2023;C70921;Printer;2;228,54;533 Main St;Debit Card;Pending;TRK54983109;3;No Coupon;Email;457,08;457,08;Correct;January;1
ORD200099;12/04/2025;C30477;Printer;1;201,58;717 Main St;Debit Card;Cancelled;TRK51829648;2;Winter15;Email;201,58;201,58;Correct;April;4
ORD200100;17/02/2023;C74866;Phone;3;664,79;743 Main St;Online;Delivered;TRK53783265;6;No Coupon;Facebook;1994,37;1994,37;Correct;February;2
ORD200101;25/11/2023;C15283;Printer;1;381,02;152 Main St;Cash;Shipped;TRK19286291;6;No Coupon;Google;381,02;381,02;Correct;November;11
ORD200102;08/03/2023;C18037;Laptop;2;70,34;944 Main St;Gift Card;Cancelled;TRK47362236;3;Freeship;Email;140,68;140,68;Correct;March;3
ORD200103;25/01/2025;C62656;Phone;4;218,43;514 Main St;Credit Card;Cancelled;TRK86296459;9;Save10;Email;873,72;873,72;Correct;January;1
ORD200104;30/07/2024;C65744;Phone;1;582,04;647 Main St;Gift Card;Delivered;TRK39906058;1;Freeship;Email;582,04;582,04;Correct;July;7
ORD200105;24/10/2024;C72290;Printer;3;185,4;810 Main St;Gift Card;Cancelled;TRK68792129;7;No Coupon;Facebook;556,2;556,2;Correct;October;10
ORD200106;08/09/2023;C73514;Desk;3;465,05;126 Main St;Credit Card;Cancelled;TRK96777924;3;Save10;Email;1395,15;1395,15;Correct;September;9
ORD200107;27/03/2023;C16775;Printer;5;670,75;848 Main St;Gift Card;Shipped;TRK34392124;8;Freeship;Instagram;3353,75;3353,75;Correct;March;3
ORD200108;28/12/2024;C33099;Laptop;5;48,38;522 Main St;Gift Card;Delivered;TRK28522330;9;Winter15;Email;241,9;241,9;Correct;December;12
ORD200109;17/09/2023;C51157;Desk;3;592,87;131 Main St;Gift Card;Shipped;TRK18674578;3;Freeship;Referral;1778,61;1778,61;Check;September;9
ORD200110;21/04/2024;C74562;Tablet;1;220,77;388 Main St;Gift Card;Pending;TRK32062079;5;Freeship;Instagram;220,77;220,77;Correct;April;4
ORD200111;07/05/2025;C95271;Desk;3;309,22;620 Main St;Online;Cancelled;TRK74904969;7;Freeship;Google;927,66;927,66;Correct;May;5
ORD200112;01/01/2023;C81366;Monitor;1;410,6;423 Main St;Online;Cancelled;TRK17062206;2;Winter15;Referral;410,6;410,6;Correct;January;1
ORD200113;17/01/2024;C65905;Laptop;5;190,08;605 Main St;Cash;Shipped;TRK73954365;9;Freeship;Instagram;950,4;950,4;Correct;January;1
ORD200114;27/01/2025;C77272;Monitor;5;498,48;115 Main St;Online;Pending;TRK29708128;8;Save10;Google;2492,4;2492,4;Correct;January;1
ORD200115;27/11/2023;C32580;Phone;5;374,99;122 Main St;Online;Shipped;TRK23670394;9;Save10;Facebook;1874,95;1874,95;Correct;November;11
ORD200116;19/03/2023;C47761;Printer;4;291,35;109 Main St;Credit Card;Cancelled;TRK66669207;6;Winter15;Facebook;1165,4;1165,4;Correct;March;3
ORD200117;08/03/2023;C49187;Tablet;1;535,5;593 Main St;Gift Card;Cancelled;TRK81888598;5;Winter15;Referral;535,5;535,5;Correct;March;3
ORD200118;09/10/2023;C27898;Printer;5;502,71;807 Main St;Gift Card;Shipped;TRK61957665;7;Freeship;Google;2513,55;2513,55;Check;October;10
ORD200119;11/06/2025;C14683;Desk;2;534,67;187 Main St;Debit Card;Shipped;TRK47373682;7;Freeship;Referral;1069,34;1069,34;Correct;June;6
ORD200120;11/04/2023;C58108;Tablet;4;629,34;986 Main St;Cash;Cancelled;TRK66218053;4;Winter15;Instagram;2517,36;2517,36;Correct;April;4
ORD200121;30/11/2023;C89822;Desk;1;410,78;673 Main St;Cash;Cancelled;TRK24138598;1;Freeship;Instagram;410,78;410,78;Correct;November;11
ORD200122;15/04/2024;C96787;Laptop;2;533,02;588 Main St;Gift Card;Shipped;TRK30422853;2;No Coupon;Facebook;1066,04;1066,04;Correct;April;4
ORD200123;06/07/2023;C86064;Desk;3;278,04;727 Main St;Online;Delivered;TRK62182901;5;No Coupon;Instagram;834,12;834,12;Correct;July;7
ORD200124;28/07/2024;C97148;Printer;4;283,79;563 Main St;Online;Pending;TRK85321126;8;No Coupon;Google;1135,16;1135,16;Correct;July;7
ORD200125;06/11/2024;C91099;Phone;2;512,65;758 Main St;Credit Card;Shipped;TRK81846174;5;Save10;Email;1025,3;1025,3;Correct;November;11
ORD200126;03/05/2025;C55606;Desk;4;275,5;353 Main St;Gift Card;Shipped;TRK68250319;8;Freeship;Google;1102;1102;Correct;May;5
ORD200127;10/08/2023;C71486;Desk;3;469,32;365 Main St;Debit Card;Shipped;TRK73929833;3;No Coupon;Google;1407,96;1407,96;Correct;August;8
ORD200128;17/02/2023;C86408;Tablet;4;21,07;244 Main St;Gift Card;Delivered;TRK41432648;4;Freeship;Google;84,28;84,28;Correct;February;2
ORD200129;27/10/2023;C52751;Laptop;4;263,93;427 Main St;Debit Card;Shipped;TRK72481234;4;Freeship;Facebook;1055,72;1055,72;Correct;October;10
ORD200130;22/01/2025;C29059;Desk;3;501,3;513 Main St;Online;Cancelled;TRK88360704;3;Winter15;Facebook;1503,9;1503,9;Correct;January;1
ORD200131;08/01/2023;C72862;Tablet;1;84,8;606 Main St;Gift Card;Pending;TRK51648833;5;No Coupon;Instagram;84,8;84,8;Correct;January;1
ORD200132;28/03/2023;C96257;Tablet;4;450,75;583 Main St;Credit Card;Shipped;TRK13137948;6;Winter15;Email;1803;1803;Correct;March;3
ORD200133;20/06/2025;C87432;Chair;4;302,05;636 Main St;Debit Card;Cancelled;TRK68969625;6;Save10;Google;1208,2;1208,2;Correct;June;6
ORD200134;23/06/2025;C16253;Laptop;2;199,7;583 Main St;Cash;Pending;TRK17354894;4;No Coupon;Email;399,4;399,4;Correct;June;6
ORD200135;04/08/2023;C79909;Printer;2;68,81;642 Main St;Gift Card;Shipped;TRK86742257;5;Save10;Referral;137,62;137,62;Correct;August;8
ORD200136;27/04/2024;C73370;Laptop;1;44,35;595 Main St;Gift Card;Cancelled;TRK67820278;1;Save10;Instagram;44,35;44,35;Correct;April;4
ORD200137;26/11/2024;C50682;Monitor;2;250,98;598 Main St;Credit Card;Delivered;TRK12242337;5;No Coupon;Google;501,96;501,96;Correct;November;11
ORD200138;21/12/2023;C21905;Tablet;1;298,06;478 Main St;Debit Card;Pending;TRK31863841;3;Winter15;Google;298,06;298,06;Correct;December;12
ORD200139;10/04/2023;C61440;Phone;1;583,9;714 Main St;Cash;Returned;TRK33114521;1;No Coupon;Email;583,9;583,9;Correct;April;4
ORD200140;31/05/2025;C33110;Chair;3;528,14;388 Main St;Online;Delivered;TRK38624225;3;Freeship;Email;1584,42;1584,42;Correct;May;5
ORD200141;18/11/2023;C80004;Printer;3;684,14;151 Main St;Cash;Cancelled;TRK66230753;3;Winter15;Instagram;2052,42;2052,42;Correct;November;11
ORD200142;06/09/2023;C86374;Desk;5;272,77;573 Main St;Cash;Pending;TRK79451491;7;Winter15;Email;1363,85;1363,85;Correct;September;9
ORD200143;13/06/2024;C66521;Chair;4;400,07;933 Main St;Online;Shipped;TRK34654244;5;No Coupon;Referral;1600,28;1600,28;Correct;June;6
ORD200144;04/08/2023;C63365;Desk;5;219,78;895 Main St;Credit Card;Pending;TRK80100887;8;No Coupon;Facebook;1098,9;1098,9;Correct;August;8
ORD200145;02/03/2024;C85929;Printer;3;146,91;798 Main St;Credit Card;Delivered;TRK29318610;6;Freeship;Google;440,73;440,73;Correct;March;3
ORD200146;30/04/2025;C84645;Tablet;2;411,49;404 Main St;Credit Card;Returned;TRK68893369;4;No Coupon;Instagram;822,98;822,98;Correct;April;4
ORD200147;06/05/2025;C46316;Laptop;2;465,18;893 Main St;Credit Card;Cancelled;TRK16196000;2;Save10;Google;930,36;930,36;Correct;May;5
ORD200148;15/12/2024;C35100;Phone;2;319,91;139 Main St;Credit Card;Cancelled;TRK56853491;3;Winter15;Google;639,82;639,82;Correct;December;12
ORD200149;27/12/2023;C39671;Laptop;1;217,56;174 Main St;Debit Card;Delivered;TRK47153818;3;No Coupon;Facebook;217,56;217,56;Correct;December;12
ORD200150;13/12/2023;C25503;Phone;2;105,57;981 Main St;Debit Card;Returned;TRK29878837;5;Winter15;Google;211,14;211,14;Correct;December;12
ORD200151;01/12/2023;C32960;Printer;5;444,76;947 Main St;Debit Card;Returned;TRK91226500;7;No Coupon;Email;2223,8;2223,8;Correct;December;12
ORD200152;02/01/2025;C77736;Chair;2;399,04;659 Main St;Cash;Cancelled;TRK90329250;3;Freeship;Referral;798,08;798,08;Correct;January;1
ORD200153;18/12/2024;C71570;Chair;4;534,48;437 Main St;Online;Returned;TRK95992269;9;Winter15;Instagram;2137,92;2137,92;Correct;December;12
ORD200154;20/07/2023;C73587;Phone;4;408,21;727 Main St;Credit Card;Pending;TRK13955543;9;No Coupon;Instagram;1632,84;1632,84;Correct;July;7
ORD200155;27/02/2023;C62740;Phone;1;424,4;446 Main St;Online;Shipped;TRK20706408;6;Winter15;Referral;424,4;424,4;Correct;February;2
ORD200156;08/11/2024;C58808;Chair;2;269,83;651 Main St;Online;Delivered;TRK24451893;4;Save10;Email;539,66;539,66;Correct;November;11
ORD200157;21/02/2025;C50422;Monitor;2;564,58;636 Main St;Online;Returned;TRK71227815;4;Winter15;Facebook;1129,16;1129,16;Correct;February;2
ORD200158;16/05/2024;C23334;Tablet;1;331,06;737 Main St;Credit Card;Pending;TRK46335144;5;Winter15;Instagram;331,06;331,06;Correct;May;5
ORD200159;31/10/2023;C48965;Printer;1;299,35;819 Main St;Credit Card;Cancelled;TRK50921780;5;Winter15;Email;299,35;299,35;Correct;October;10
ORD200160;17/02/2023;C38669;Monitor;4;101,32;240 Main St;Cash;Pending;TRK81738254;7;No Coupon;Referral;405,28;405,28;Correct;February;2
ORD200161;29/03/2024;C35091;Monitor;1;211,14;513 Main St;Credit Card;Cancelled;TRK53784452;1;Save10;Facebook;211,14;211,14;Correct;March;3
ORD200162;27/07/2023;C82313;Chair;3;65,86;917 Main St;Online;Pending;TRK79854624;8;Winter15;Google;197,58;197,58;Check;July;7
ORD200163;24/06/2025;C99589;Tablet;1;641,39;277 Main St;Online;Cancelled;TRK16695001;1;No Coupon;Referral;641,39;641,39;Correct;June;6
ORD200164;28/12/2023;C70566;Desk;5;536,58;667 Main St;Gift Card;Pending;TRK49673411;5;Save10;Google;2682,9;2682,9;Correct;December;12
ORD200165;14/09/2024;C60355;Monitor;2;500,29;226 Main St;Online;Returned;TRK30155194;7;Winter15;Google;1000,58;1000,58;Correct;September;9
ORD200166;04/03/2025;C28889;Chair;3;86,29;565 Main St;Cash;Delivered;TRK23791726;6;Winter15;Instagram;258,87;258,87;Correct;March;3
ORD200167;27/05/2023;C88304;Chair;2;384,14;219 Main St;Online;Returned;TRK44268941;2;Winter15;Email;768,28;768,28;Correct;May;5
ORD200168;04/01/2025;C49517;Printer;1;594,96;878 Main St;Cash;Returned;TRK78551375;6;No Coupon;Facebook;594,96;594,96;Correct;January;1
ORD200169;07/04/2024;C35785;Printer;1;427,82;732 Main St;Online;Delivered;TRK78923089;2;Winter15;Email;427,82;427,82;Correct;April;4
ORD200170;04/04/2025;C80223;Desk;4;662,94;535 Main St;Cash;Cancelled;TRK68632951;8;Save10;Instagram;2651,76;2651,76;Correct;April;4
ORD200171;15/08/2023;C20448;Tablet;2;148,22;336 Main St;Credit Card;Delivered;TRK67379895;7;Winter15;Instagram;296,44;296,44;Correct;August;8
ORD200172;06/04/2025;C34134;Printer;1;254,12;365 Main St;Online;Delivered;TRK43074303;1;Winter15;Email;254,12;254,12;Correct;April;4
ORD200173;24/03/2024;C95901;Phone;3;664,46;806 Main St;Online;Delivered;TRK56989066;4;Freeship;Google;1993,38;1993,38;Correct;March;3
ORD200174;16/04/2024;C51145;Printer;4;600,81;790 Main St;Debit Card;Delivered;TRK59154274;9;Save10;Email;2403,24;2403,24;Correct;April;4
ORD200175;08/02/2025;C78170;Chair;5;68,34;332 Main St;Debit Card;Pending;TRK71410605;6;Winter15;Referral;341,7;341,7;Check;February;2
ORD200176;28/06/2025;C80151;Tablet;4;430,83;553 Main St;Gift Card;Pending;TRK88251529;8;Winter15;Referral;1723,32;1723,32;Correct;June;6
